x1,x2,l
6.675459709380395346e+00,4.038201628434502588e+00,0
4.372387341092517921e-01,4.634083211078090514e+00,0
1.109579387163568409e+00,3.725932587854128286e+00,0
3.130004157346069960e+00,5.483353901052249846e+00,0
4.154150251171322417e+00,4.854878393294022487e+00,0
2.826160993036215707e+00,5.865519671242583222e+00,0
1.295406436515812665e+00,5.812711430972427706e+00,0
5.618863038889973183e+00,5.528859529594863709e+00,0
2.679232113715937391e+00,4.064737181301984137e+00,0
4.670618425834822673e+00,4.821911227670805822e+00,0
2.862300332654355572e-01,4.149556758018209557e+00,0
6.181203397017230650e+00,2.726146915014053818e+00,0
4.467883174036074934e+00,1.144009149885106380e+00,0
2.589879727293362913e-03,4.828939879609879249e+00,0
2.046036305846469894e+00,5.075995193501581237e-01,0
5.767369874056279405e-02,4.779467949209527333e+00,0
9.882918218256867560e-01,5.463006746888422249e+00,0
6.505190254322925192e+00,5.755143627384164517e+00,0
3.259203704726132966e-01,1.663634936515566709e+00,0
6.003096992215362526e+00,2.014754296644304610e+00,0
6.384185750929586289e-01,2.662953313604005778e+00,0
5.902330204449590667e+00,4.965268191953328802e+00,0
3.468558600058370800e+00,3.410831654107858490e+00,0
2.674941382824213232e+00,4.265446128537934811e+00,0
3.962121508905827039e+00,5.589068239738447019e+00,0
5.733826240557336362e+00,5.062826377924811716e+00,0
6.064481638370382122e+00,1.518663165112448477e+00,0
3.885266720370811555e+00,4.060290275194235576e+00,2
3.370495218271459592e+00,5.088417424851375825e-01,0
1.685573523915235183e+00,1.026147524096684416e+00,0
2.998262632095844982e+00,6.735897085960003139e-01,0
2.831889709176650616e+00,6.763054994473165493e-01,0
2.531596190466490093e+00,2.527745681441130543e+00,0
1.819531924704013814e+00,3.724108339175992377e+00,0
5.249453633588441193e+00,3.346692780773727005e+00,0
3.091630336480303054e+00,3.246065095577082005e+00,0
1.347791937742174984e+00,1.246446311396755435e+00,1
5.909432670407279709e+00,5.077752746377254267e-01,0
1.983160107463992183e+00,4.339100783490109414e+00,0
1.827159748592975808e+00,5.548759366518062564e+00,0
1.080740070950658716e-01,8.033580051773667741e-01,0
6.755195341778868823e+00,2.024838941170631124e+00,0
2.445724294231627738e+00,3.956523140608795064e+00,0
6.940568118517643548e+00,5.055861486270651461e+00,0
1.290159837514272656e+00,3.687253286596638979e+00,0
3.292537772826272136e+00,5.297485863357917601e+00,0
3.746629080945128365e+00,3.782514304863815013e+00,2
2.811316164504431558e+00,3.914111754360377837e+00,0
4.339728423584495509e+00,5.248482297553426434e+00,0
2.401789437534320726e+00,3.964810212945687251e+00,0
1.519088074314036030e+00,2.093402898720048810e+00,0
5.269608414050129142e+00,2.660951509439227980e+00,0
1.620624956362276992e+00,1.236502540790931803e+00,0
1.064094281740730619e-01,6.851217481546916233e-01,0
4.332198416227269533e+00,1.293393048071051599e+00,0
2.146677137724516182e+00,3.251617629205648008e+00,0
3.803142114478596181e+00,1.104118713194573997e+00,0
6.356720834965620348e+00,3.316582617135141131e+00,0
3.227911587338470945e+00,1.813610008936462847e+00,0
2.608439313033767082e+00,7.635877896614027271e-01,0
2.471298776771165162e+00,1.673009231926981144e+00,0
3.760938434224037064e+00,1.484650181769861188e+00,0
5.393002852682116099e+00,5.505703658997773253e+00,0
3.105276806307982529e+00,3.994781473608579159e+00,0
4.919383696846329812e+00,7.700082021380434405e-01,0
1.971232263966033127e+00,4.761681376889205453e+00,0
6.642642173108687764e+00,4.821812748308425434e+00,0
5.300315710274028369e+00,2.422791806325060193e+00,0
4.134134879306995636e+00,5.273610518209760123e+00,0
6.005541084148047659e+00,3.326166124723615170e+00,0
4.641205831313637731e+00,4.942782595492989373e+00,0
5.434239098089552300e+00,4.166909358193258583e+00,0
5.429405329175970962e+00,5.110931780024763782e+00,0
1.711381266662248102e+00,1.063806286587873684e+00,0
1.322055103395083364e-01,4.114863495975257024e+00,0
5.874132638837477494e+00,5.699842833869865011e+00,0
2.953016760218016401e+00,2.066789009753443374e+00,0
2.854554894490315409e+00,4.623979595374527740e+00,0
4.674673141742036186e+00,4.091552829804035341e+00,0
6.589160864501384829e+00,3.035014664230144099e+00,0
1.646799427940050409e+00,4.580811098408273274e+00,0
3.725483484713317139e+00,3.250167269371185164e+00,0
5.377762864636249418e+00,3.327388149737426026e+00,0
6.296544760816137121e+00,1.579912050641314236e+00,0
4.154939915545863727e+00,3.771502953785579759e+00,0
5.156840570885108832e+00,3.275281840997184002e+00,0
1.862460673710181869e+00,3.104549800146922056e+00,0
4.122754827859065330e+00,2.660168394423225280e+00,0
1.243595394357553729e+00,5.626851256678127022e+00,0
5.989435045845628913e+00,7.550137808943178097e-01,0
2.987060467266087205e+00,2.894096153832702356e+00,0
3.949371433111632079e+00,2.186048180684647235e+00,0
6.178033862477674276e+00,1.583694199730685037e+00,0
5.036432742757005476e-01,5.581763516912422673e+00,0
5.395978961959470688e+00,5.119180800839775891e+00,0
5.877146539219658905e+00,1.488748739351644090e+00,0
2.533899171047437004e+00,4.899873171037651076e+00,0
7.421491192461181496e-01,3.214124444571832218e+00,0
1.604434772731618608e+00,1.136240233572299640e+00,0
6.982766786248148172e+00,5.685301861076553109e+00,0
6.738860688857072567e+00,1.335343225071153217e+00,0
3.678777056777536192e+00,4.841285361901888074e+00,0
6.674578197742352614e+00,4.556102610455631030e+00,0
3.058993526872385793e+00,3.042134231907747566e+00,0
1.083512337494279887e+00,3.246257317160745615e+00,0
5.325304174665889123e-01,3.707835878726511769e+00,0
3.320924245016440013e-01,4.401547440173478876e+00,0
3.212273925143776521e-01,3.576178265512089283e+00,0
3.099523664690330804e+00,4.612198663252969233e+00,0
4.854929702330410990e+00,4.711118037695949390e+00,0
3.452374559329053127e+00,3.522503361365294072e+00,2
1.247047491813517706e+00,5.732155994860122838e+00,0
5.816790651753155572e+00,2.189302852277337674e+00,0
6.193378915009270180e+00,2.006430744064840788e+00,0
4.384120373477852772e-01,2.912097306217112713e+00,0
6.760876912824668850e+00,1.857115040185332022e+00,0
4.008690966806813805e+00,3.365676005165884277e+00,0
8.116716098455952766e-01,5.093491496744829483e+00,0
6.006234976359581701e+00,5.566174246776164125e+00,0
5.699326393220903064e+00,5.990130818244566058e+00,0
2.987992626744798486e+00,5.721869969608941453e+00,0
3.860787232462222995e+00,4.773317655455275421e+00,0
1.297475480258888592e+00,1.096566881101114221e+00,0
4.256961681014466592e+00,1.751522001301626164e+00,0
1.371229356800888199e+00,1.115234230082116751e+00,0
1.213909561435746243e+00,1.763885470749780859e+00,0
3.037583831910030341e+00,1.718281417608953365e+00,0
2.620580936505292780e+00,5.047508254527840243e+00,0
5.285841708524868787e-01,2.571626456229922031e+00,0
3.818774934280912525e+00,3.960860541055960748e+00,2
2.354913637393606152e+00,1.992113314674391900e+00,0
